==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱     : aero01
Python 版本  : 3.10.12
PyTorch 版本 : 2.0.1+cu117
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA L40S (47.67 GB)
CUDA 版本    : 11.7
訓練開始時間 : 2026-05-05 01:04:07
總訓練時間   : 1636.91 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/100   3.8760     9.93         16.33        18.28s
2/100   3.1622     21.31        24.99        34.39s
3/100   2.6663     30.83        32.41        51.71s
4/100   2.2924     38.58        35.96        67.91s
5/100   2.0328     44.56        46.17        84.00s
6/100   1.8263     49.24        49.13        99.95s
7/100   1.6543     53.24        51.96        116.52s
8/100   1.5300     56.24        53.25        133.41s
9/100   1.4012     59.73        57.04        149.40s
10/100   1.3041     62.25        58.44        165.37s
11/100   1.2064     64.56        59.99        181.20s
12/100   1.1174     66.66        61.41        198.60s
13/100   1.0371     69.27        60.56        214.45s
14/100   0.9633     70.94        62.05        230.46s
15/100   0.9010     72.69        63.94        246.40s
16/100   0.8262     74.68        65.67        263.64s
17/100   0.7681     76.16        64.03        279.93s
18/100   0.7065     77.99        67.09        296.13s
19/100   0.6420     79.77        66.67        312.23s
20/100   0.5941     81.16        65.80        328.55s
21/100   0.5538     82.38        65.93        345.66s
22/100   0.5076     83.61        66.91        361.68s
23/100   0.4659     84.87        67.36        377.57s
24/100   0.4155     86.41        67.87        393.60s
25/100   0.3885     87.32        68.07        410.89s
26/100   0.3603     88.07        68.39        426.97s
27/100   0.3297     89.21        67.94        443.06s
28/100   0.3001     90.25        67.60        459.15s
29/100   0.2680     91.34        67.54        475.99s
30/100   0.2679     91.08        68.46        492.56s
31/100   0.2358     92.15        68.05        508.70s
32/100   0.2174     92.76        68.35        524.71s
33/100   0.2094     93.00        69.03        540.98s
34/100   0.1854     93.85        69.17        558.31s
35/100   0.1911     93.65        68.85        574.32s
36/100   0.1623     94.70        68.76        590.49s
37/100   0.1533     94.88        68.94        606.57s
38/100   0.1514     95.04        68.81        623.66s
39/100   0.1385     95.43        69.63        639.93s
40/100   0.1262     95.81        70.08        655.97s
41/100   0.1201     96.04        69.36        671.96s
42/100   0.1132     96.22        69.62        688.45s
43/100   0.1101     96.35        68.67        705.45s
44/100   0.0993     96.67        69.24        721.58s
45/100   0.0901     97.08        70.38        737.62s
46/100   0.0899     97.08        70.25        753.62s
47/100   0.0827     97.33        70.05        770.98s
48/100   0.0747     97.50        70.05        786.99s
49/100   0.0743     97.53        70.24        802.99s
50/100   0.0631     97.93        70.35        819.05s
51/100   0.0688     97.71        70.06        835.76s
52/100   0.0646     97.87        70.70        852.58s
53/100   0.0523     98.31        71.05        868.54s
54/100   0.0595     98.10        70.99        884.53s
55/100   0.0538     98.25        70.25        900.57s
56/100   0.0491     98.42        70.05        917.92s
57/100   0.0439     98.60        70.69        934.04s
58/100   0.0435     98.54        70.76        950.04s
59/100   0.0410     98.73        70.72        966.07s
60/100   0.0355     98.86        70.82        982.83s
61/100   0.0339     98.88        70.91        999.54s
62/100   0.0316     98.98        71.17        1015.60s
63/100   0.0270     99.18        71.32        1031.69s
64/100   0.0284     99.12        71.53        1047.82s
65/100   0.0266     99.13        71.74        1065.18s
66/100   0.0248     99.20        71.70        1081.28s
67/100   0.0205     99.39        72.01        1097.34s
68/100   0.0218     99.29        71.96        1113.35s
69/100   0.0193     99.38        71.50        1130.05s
70/100   0.0179     99.44        71.47        1146.91s
71/100   0.0152     99.58        71.53        1163.04s
72/100   0.0148     99.55        71.45        1179.14s
73/100   0.0150     99.56        71.64        1195.22s
74/100   0.0149     99.56        71.99        1212.58s
75/100   0.0122     99.62        72.03        1228.71s
76/100   0.0105     99.69        72.16        1244.60s
77/100   0.0100     99.72        72.02        1260.67s
78/100   0.0106     99.70        72.83        1277.38s
79/100   0.0082     99.78        72.32        1294.12s
80/100   0.0085     99.76        72.34        1310.14s
81/100   0.0072     99.81        72.42        1326.21s
82/100   0.0067     99.81        72.51        1342.24s
83/100   0.0075     99.79        72.30        1359.62s
84/100   0.0064     99.85        72.59        1375.76s
85/100   0.0058     99.84        72.90        1391.81s
86/100   0.0057     99.86        72.79        1407.88s
87/100   0.0056     99.84        72.82        1424.75s
88/100   0.0048     99.88        72.95        1441.48s
89/100   0.0046     99.89        72.58        1457.51s
90/100   0.0045     99.88        72.83        1473.37s
91/100   0.0045     99.89        73.03        1489.56s
92/100   0.0044     99.88        72.88        1506.93s
93/100   0.0039     99.88        72.83        1523.03s
94/100   0.0039     99.91        73.22        1538.90s
95/100   0.0036     99.92        73.17        1554.94s
96/100   0.0036     99.91        73.06        1572.04s
97/100   0.0035     99.91        73.09        1588.49s
98/100   0.0032     99.93        72.90        1604.57s
99/100   0.0039     99.89        73.16        1620.62s
100/100   0.0033     99.91        72.91        1636.91s
--------------------------------------------------

訓練完成
