==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : aero01
Python 版本  : 3.10.12
PyTorch 版本 : 2.0.1+cu117
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA L40S (47.67 GB)
CUDA 版本    : 11.7
訓練開始時間 : 2026-05-03 11:16:46
總訓練時間   : 106.86 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2241     93.12        98.70        3.30s
2/50    0.0775     97.80        98.54        5.44s
3/50    0.0541     98.40        99.07        7.64s
4/50    0.0454     98.65        99.21        9.77s
5/50    0.0352     98.92        99.21        11.74s
6/50    0.0315     99.02        99.27        13.84s
7/50    0.0268     99.17        99.32        15.88s
8/50    0.0234     99.25        99.21        17.94s
9/50    0.0219     99.36        99.36        19.88s
10/50    0.0194     99.36        99.35        21.95s
11/50    0.0178     99.43        99.31        23.99s
12/50    0.0172     99.45        99.16        26.15s
13/50    0.0157     99.50        99.30        28.34s
14/50    0.0126     99.59        99.30        30.46s
15/50    0.0113     99.65        99.39        32.41s
16/50    0.0138     99.54        99.34        34.31s
17/50    0.0126     99.60        99.43        36.24s
18/50    0.0119     99.63        99.47        38.17s
19/50    0.0117     99.61        99.35        40.12s
20/50    0.0091     99.71        99.34        42.24s
21/50    0.0092     99.68        99.44        44.34s
22/50    0.0090     99.70        99.23        46.44s
23/50    0.0092     99.71        99.40        48.49s
24/50    0.0084     99.71        99.42        50.60s
25/50    0.0081     99.77        99.40        52.79s
26/50    0.0082     99.73        99.19        54.92s
27/50    0.0076     99.76        99.38        57.05s
28/50    0.0079     99.73        99.35        59.19s
29/50    0.0063     99.79        99.37        61.31s
30/50    0.0071     99.77        99.35        63.54s
31/50    0.0096     99.69        99.39        65.68s
32/50    0.0061     99.81        99.40        67.86s
33/50    0.0051     99.83        99.34        69.90s
34/50    0.0068     99.77        99.37        72.12s
35/50    0.0087     99.76        99.29        74.26s
36/50    0.0054     99.80        99.20        76.41s
37/50    0.0068     99.80        99.25        78.57s
38/50    0.0058     99.83        99.38        80.71s
39/50    0.0066     99.80        99.26        82.86s
40/50    0.0074     99.81        99.33        84.88s
41/50    0.0041     99.86        99.33        87.08s
42/50    0.0038     99.88        99.26        89.41s
43/50    0.0061     99.80        99.35        91.65s
44/50    0.0073     99.79        99.23        93.84s
45/50    0.0042     99.86        99.31        96.00s
46/50    0.0054     99.83        99.40        98.18s
47/50    0.0051     99.82        99.25        100.37s
48/50    0.0067     99.79        99.33        102.53s
49/50    0.0051     99.83        99.41        104.70s
50/50    0.0034     99.89        99.45        106.86s
--------------------------------------------------

訓練完成
